Epoch,Iteration,RPN_Cls_Loss,RPN_Loc_Loss,FRCNN_Cls_Loss,FRCNN_Loc_Loss,Precision,Recall,mAP
1,0,0.6951,0.3065,1.7080,0.0074,0.0100,0.0667,0.0019
1,100,0.6224,0.0621,0.9204,0.0754,0.0000,0.0000,0.0000
1,200,0.2819,0.1236,0.7377,0.1466,0.0100,0.0667,0.0013
1,EPOCH_END,0.5256,0.1475,1.0049,0.0893,0.0225,0.1903,0.0386
2,0,0.3058,0.1323,0.9595,0.2334,0.0300,0.2000,0.0107
2,100,0.2700,0.1351,0.8382,0.2115,0.0300,0.2000,0.0307
2,200,0.2510,0.1872,0.8137,0.1781,0.0300,0.2000,0.0357
2,EPOCH_END,0.2521,0.1312,0.7595,0.1709,0.0275,0.2642,0.0536
3,0,0.1867,0.1308,0.6300,0.1427,0.0200,0.1333,0.0068
3,100,0.1272,0.0464,0.3903,0.0948,0.0200,0.1333,0.0093
3,200,0.1430,0.1626,0.9011,0.3121,0.0400,0.2667,0.0119
3,EPOCH_END,0.1765,0.1254,0.6911,0.1866,0.0367,0.3474,0.0363
